filename, language, source.markdown.math, JSON, JSON with Comments, JavaScript, HTML, CSS, JavaScript React, comment, blank, total
d:\Projektkurs\projekt\README.md, source.markdown.math, 37, 0, 0, 0, 0, 0, 0, 0, 32, 69
d:\Projektkurs\projekt\package-lock.json, JSON, 0, 14669, 0, 0, 0, 0, 0, 0, 1, 14670
d:\Projektkurs\projekt\package.json, JSON, 0, 58, 0, 0, 0, 0, 0, 0, 1, 59
d:\Projektkurs\projekt\public\defaultData\equipment.json, JSON, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
d:\Projektkurs\projekt\public\defaultData\exercises.json, JSON, 0, 110, 0, 0, 0, 0, 0, 0, 1, 111
d:\Projektkurs\projekt\public\defaultData\muscles.json, JSON, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
d:\Projektkurs\projekt\public\defaultData\workouts.json, JSON, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
d:\Projektkurs\projekt\public\index.html, HTML, 0, 0, 0, 0, 29, 0, 0, 23, 2, 54
d:\Projektkurs\projekt\src\actions\index.js, JavaScript, 0, 0, 0, 123, 0, 0, 0, 34, 25, 182
d:\Projektkurs\projekt\src\apis\tts.js, JavaScript, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
d:\Projektkurs\projekt\src\apis\wger.js, JavaScript, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
d:\Projektkurs\projekt\src\components\App.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 47, 1, 4, 52
d:\Projektkurs\projekt\src\components\ExercisePreview\ExerciseForm.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 241, 5, 7, 253
d:\Projektkurs\projekt\src\components\ExercisePreview\ExerciseFormSelector.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 73, 2, 3, 78
d:\Projektkurs\projekt\src\components\ExercisePreview\ExercisePreview.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 87, 7, 7, 101
d:\Projektkurs\projekt\src\components\ExercisePreview\ImageSearch\ImageCard.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 31, 2, 6, 39
d:\Projektkurs\projekt\src\components\ExercisePreview\ImageSearch\ImageField.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 216, 12, 11, 239
d:\Projektkurs\projekt\src\components\ExerciseSearch\ExerciseSearch.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 192, 1, 3, 196
d:\Projektkurs\projekt\src\components\ExerciseSearch\InternalSearch.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
d:\Projektkurs\projekt\src\components\ExerciseSearch\SearchSettings.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 83, 3, 1, 87
d:\Projektkurs\projekt\src\components\ExerciseSearch\WgerSearch.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
d:\Projektkurs\projekt\src\components\ExerciseWrapper\Exercise.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 85, 9, 9, 103
d:\Projektkurs\projekt\src\components\ExerciseWrapper\ExerciseScreen.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 45, 3, 2, 50
d:\Projektkurs\projekt\src\components\ExerciseWrapper\ExerciseWrapper.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 227, 17, 19, 263
d:\Projektkurs\projekt\src\components\ExerciseWrapper\FinishScreen.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 38, 4, 4, 46
d:\Projektkurs\projekt\src\components\ExerciseWrapper\PauseScreen.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 82, 1, 4, 87
d:\Projektkurs\projekt\src\components\Loader.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
d:\Projektkurs\projekt\src\components\Main.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 86, 4, 4, 94
d:\Projektkurs\projekt\src\components\Menu.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 173, 0, 4, 177
d:\Projektkurs\projekt\src\components\Overview\ChartComponent.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 21, 3, 2, 26
d:\Projektkurs\projekt\src\components\Overview\Overview.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 118, 3, 7, 128
d:\Projektkurs\projekt\src\components\Overview\Statistic.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
d:\Projektkurs\projekt\src\components\Overview\Timeline.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 93, 12, 2, 107
d:\Projektkurs\projekt\src\components\Overview\WorkoutStatistics.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 178, 11, 6, 195
d:\Projektkurs\projekt\src\components\Popup.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 31, 0, 3, 34
d:\Projektkurs\projekt\src\components\ProgressBar.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 19, 0, 2, 21
d:\Projektkurs\projekt\src\components\Selector.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 55, 1, 3, 59
d:\Projektkurs\projekt\src\components\Settings\DeleteSelectorField.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 39, 0, 2, 41
d:\Projektkurs\projekt\src\components\Settings\FileUpload.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 22, 1, 2, 25
d:\Projektkurs\projekt\src\components\Settings\Settings.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 262, 1, 6, 269
d:\Projektkurs\projekt\src\components\WorkoutCreator\DragAndDropList.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 50, 7, 6, 63
d:\Projektkurs\projekt\src\components\WorkoutCreator\Dropdown.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
d:\Projektkurs\projekt\src\components\WorkoutCreator\WorkoutCreator.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 361, 16, 11, 388
d:\Projektkurs\projekt\src\helpers.js, JavaScript, 0, 0, 0, 71, 0, 0, 0, 9, 11, 91
d:\Projektkurs\projekt\src\index.js, JavaScript, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
d:\Projektkurs\projekt\src\localstorage.js, JavaScript, 0, 0, 0, 17, 0, 0, 0, 1, 2, 20
d:\Projektkurs\projekt\src\reducers\currentReducer.js, JavaScript, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
d:\Projektkurs\projekt\src\reducers\index.js, JavaScript, 0, 0, 0, 9, 0, 0, 0, 3, 2, 14
d:\Projektkurs\projekt\src\reducers\userDataReducer.js, JavaScript, 0, 0, 0, 295, 0, 0, 0, 22, 4, 321
d:\Projektkurs\projekt\src\reducers\wgerReducer.js, JavaScript, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
d:\Projektkurs\projekt\src\style.css, CSS, 0, 0, 0, 0, 0, 315, 0, 19, 54, 388
d:\Projektkurs\projekt\state.code-workspace, JSON with Comments, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
Total, -, 37, 14878, 1, 585, 29, 315, 3022, 237, 302, 19406
